Date	Price	Open	High	Low	Vol.	Close	Change %	
"Sep 09, 2020"	23.5	25.52	25.52	23.5	225.70K	23.611104	-7.48%	
"Sep 08, 2020"	25.4	25.25	25.4	25.25	207.80K	25.398975	0.59%	
"Sep 07, 2020"	25.25	21.73	25.25	21.73	284.70K	24.01165	10.50%	
"Sep 04, 2020"	22.85	19.23	22.85	19.23	1.29M	22.360644	16.28%	
"Sep 03, 2020"	19.65	18.85	19.65	18.85	632.90K	19.49467	3.42%	
"Sep 02, 2020"	19	17.17	19	17.17	330.30K	18.124652	5.56%	
"Sep 01, 2020"	18	16.53	18	16.53	1.47M	17.978028	8.76%	
"Aug 31, 2020"	16.55	15.85	16.55	15.85	63.90K	16.34452	3.12%	
"Aug 28, 2020"	16.05	15.04	16.05	15.04	1.39M	16.038656	6.64%	
"Aug 27, 2020"	15.05	14.32	15.05	14.32	730.20K	15.070368	5.24%	
"Aug 26, 2020"	14.3	14.35	14.35	14.3	2.62M	14.250985	-0.69%	
"Aug 25, 2020"	14.4	14.46	14.46	14.4	721.00K	14.56122	0.70%	
"Aug 24, 2020"	14.3	14.73	14.73	14.3	383.60K	14.428035	-2.05%	
"Aug 21, 2020"	14.6	15.12	15.12	14.6	701.90K	14.716296	-2.67%	
"Aug 20, 2020"	15	15.75	15.75	15	517.40K	15.0003	-4.76%	
"Aug 19, 2020"	15.75	15.85	15.85	15.75	502.10K	15.70101	-0.94%	
"Aug 18, 2020"	15.9	15.89	15.9	15.89	564.30K	15.89	0.00%	
"Aug 17, 2020"	15.9	15.93	15.93	15.9	334.90K	15.93	0.00%	
"Aug 14, 2020"	15.9	15.91	15.91	15.9	1.20M	15.860679	-0.31%	
"Aug 13, 2020"	15.95	15.9	15.95	15.9	914.60K	15.94929	0.31%	
"Aug 12, 2020"	15.9	15.5	15.9	15.5	3.27M	15.45195	-0.31%	
"Aug 07, 2020"	15.95	16.1	16.1	15.95	2.25M	16.05009	-0.31%	
"Aug 06, 2020"	16	21.25	21.25	16	250.50K	20.0005	-5.88%	
"Aug 05, 2020"	17	19.59	17	17	153.70K	16.6515	-15.00%	
"Aug 03, 2020"	20	24.87	24.87	20	78.20K	20.301381	-18.37%	
"Jun 26, 2020"	24.5	24.04	24.5	24.04	4.54M	24.540032	2.08%	
"Jun 25, 2020"	24	26.51	26.51	24	444.90K	24.70732	-6.80%	
"Jun 24, 2020"	25.75	26.93	26.93	25.75	341.60K	25.683141	-4.63%	
"Jun 23, 2020"	27	25.53	27	25.53	308.10K	25.53	0.00%	
"Jun 22, 2020"	27	24.83	27	24.83	233.60K	24.246495	-2.35%	
"Jun 19, 2020"	27.65	23.08	27.65	23.08	15.40K	27.155928	17.66%	
"Jun 18, 2020"	23.5	22.92	23.5	22.92	509.00K	23.417364	2.17%	
"Jun 17, 2020"	23	24.65	24.65	23	309.10K	22.678	-8.00%	
"Jun 16, 2020"	25	25	25	25	701.10K	25	0.00%	
"Jun 15, 2020"	25	24.95	25	24.95	126.20K	24.9001	-0.20%	
"Jun 12, 2020"	25.05	24.81	25.05	24.81	511.20K	24.85962	0.20%	
"Jun 11, 2020"	25	24.68	25	24.68	481.10K	26.767928	8.46%	
